URL,Title,Brand,SKU,Inventory
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-monaco-ii-moccasin-1,Hush Puppies MONACO II Moccasin,Hush Puppies,8064647,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-fran-lifestyle-sneaker-for-men-1,North Star PACIFIC Lifestyle Sneaker for Men,North Star,8812983,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-silice-lifestyle-sneaker-for-men,North Star SILICE Lifestyle Sneaker for Men,North Star,8819985,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-pemae-lace-up-lifestyle-sneaker-for-men,North Star PEMAE Lace-Up Lifestyle Sneaker for Men,North Star,8206052,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-advance-knit-slip-on-body-shoe-1,Hush Puppies Advance Knit Slip-On Body Shoe,Hush Puppies,8069049,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-monaco-ii-moccasin,Hush Puppies MONACO II Moccasin,Hush Puppies,8066647,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-advance-knit-slip-on-body-shoe,Hush Puppies Advance Knit Slip-On Body Shoe,Hush Puppies,8066049,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-mairo-lifestyle-sneaker-for-men-1,North Star MAIRO Lifestyle Sneaker for Men,North Star,8816986,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-advance-knit-slip-on-body-shoe-2,Hush Puppies Advance Knit Lace-Up Body Shoe,Hush Puppies,8069048,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-advance-knit-lace-up-body-shoe,Hush Puppies Advance Knit Lace-Up Body Shoe,Hush Puppies,8062048,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-paulo-sneaker-for-men,North Star PAULO Sneaker for Men,North Star,8812635,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-seventy8-jogger-shoe-for-men-1,Hush Puppies Seventy8 Jogger Shoe for Men,Hush Puppies,8066644,In stock
